IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, TTC CAMERA, TTC LIDAR, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
5, FAST, BRIEF, MAT_BF, SEL_KNN, 1876, 5536, 124, 24.4261, 15.7465, 1.25723, 1.75456, 1.33029
6, FAST, BRIEF, MAT_BF, SEL_KNN, 1843, 5344, 143, 17.9112, 12.7835, 1.19083, 1.86739, 1.35519
7, FAST, BRIEF, MAT_BF, SEL_KNN, 1829, 5312, 135, 13.3312, 11.9844, 1.10278, 1.98794, 1.97043
8, FAST, BRIEF, MAT_BF, SEL_KNN, 1843, 4896, 136, 12.4931, 13.1241, 1.06026, 1.91573, 0.688296
9, FAST, BRIEF, MAT_BF, SEL_KNN, 1818, 5376, 134, 20.9226, 13.0241, 1.07005, 2.05994, 1.77625
10, FAST, BRIEF, MAT_BF, SEL_KNN, 1879, 5216, 137, 16.2321, 11.1746, 1.20616, 1.96958, 1.90979
11, FAST, BRIEF, MAT_BF, SEL_KNN, 1849, 5600, 128, 14.7288, 12.8086, 1.10999, 1.38614, 0.77831
12, FAST, BRIEF, MAT_BF, SEL_KNN, 1826, 5440, 144, 12.1376, 8.95978, 1.07842, 1.99946, 1.77797
13, FAST, BRIEF, MAT_BF, SEL_KNN, 1842, 5248, 146, 12.9348, 9.96439, 1.17763, 1.97378, 1.89639
14, FAST, BRIEF, MAT_BF, SEL_KNN, 1833, 5600, 145, 13.0069, 9.59863, 1.0657, 2.1243, 0.806975
15, FAST, BRIEF, MAT_BF, SEL_KNN, 1921, 5120, 141, 12.4977, 8.52157, 1.47318, 2.42743, 1.51715
16, FAST, BRIEF, MAT_BF, SEL_KNN, 1934, 5888, 129, 13.8117, 9.51552, 1.10628, 2.04759, 1.82589
17, FAST, BRIEF, MAT_BF, SEL_KNN, 1946, 5440, 135, 11.0733, 9.61241, 1.19902, 1.90687, 1.49664
1, FAST, ORB, MAT_BF, SEL_KNN, 1898, 5568, 123, 12.5179, 12.5156, 1.48598, 2.31223, 1.00924
2, FAST, ORB, MAT_BF, SEL_KNN, 1865, 5376, 151, 13.2561, 12.6142, 1.34362, 1.84652, 0.865577
3, FAST, ORB, MAT_BF, SEL_KNN, 1840, 5728, 140, 20.7421, 14.091, 1.19494, 2.06763, 0.855973
4, FAST, ORB, MAT_BF, SEL_KNN, 1867, 5152, 141, 14.1389, 16.6894, 1.09926, 2.06643, 0.826348
5, FAST, ORB, MAT_BF, SEL_KNN, 1876, 5536, 121, 14.1389, 15.7465, 1.25319, 1.8972, 0.796386
6, FAST, ORB, MAT_BF, SEL_KNN, 1843, 5344, 145, 15.2877, 12.7835, 1.24767, 1.88987, 0.825746
7, FAST, ORB, MAT_BF, SEL_KNN, 1829, 5312, 135, 12.9542, 11.9844, 1.10291, 2.03912, 0.817688
8, FAST, ORB, MAT_BF, SEL_KNN, 1843, 4896, 129, 11.8662, 13.1241, 1.05819, 2.09717, 0.725262
9, FAST, ORB, MAT_BF, SEL_KNN, 1818, 5376, 135, 30.3988, 13.0241, 1.13131, 2.08608, 0.743487
10, FAST, ORB, MAT_BF, SEL_KNN, 1879, 5216, 126, 16.3042, 11.1746, 1.13375, 2.10868, 0.775046
11, FAST, ORB, MAT_BF, SEL_KNN, 1849, 5600, 121, 13.9247, 12.8086, 1.07045, 2.12304, 0.784328
12, FAST, ORB, MAT_BF, SEL_KNN, 1826, 5440, 137, 12.0166, 8.95978, 1.14043, 2.08468, 0.84391
13, FAST, ORB, MAT_BF, SEL_KNN, 1842, 5248, 139, 13.1502, 9.96439, 1.21333, 2.0412, 0.824793
14, FAST, ORB, MAT_BF, SEL_KNN, 1833, 5600, 140, 12.535, 9.59863, 1.12213, 2.03682, 0.803765
15, FAST, ORB, MAT_BF, SEL_KNN, 1921, 5120, 136, 12.0859, 8.52157, 1.11513, 2.12927, 0.804484
16, FAST, ORB, MAT_BF, SEL_KNN, 1934, 5888, 127, 12.3518, 9.51552, 1.13033, 2.04622, 0.840721
17, FAST, ORB, MAT_BF, SEL_KNN, 1946, 5440, 137, 11.7698, 9.61241, 1.14267, 2.09794, 0.86314
1, FAST, FREAK, MAT_BF, SEL_KNN, 1898, 11136, 110, 13.942, 12.5156, 1.21988, 42.8215, 0.785239
2, FAST, FREAK, MAT_BF, SEL_KNN, 1865, 10752, 117, 16.6283, 12.6142, 1.13695, 42.9054, 0.868717
3, FAST, FREAK, MAT_BF, SEL_KNN, 1840, 11456, 121, 16.3172, 14.091, 1.12252, 43.6387, 0.971923
4, FAST, FREAK, MAT_BF, SEL_KNN, 1867, 10304, 116, 13.0809, 16.6894, 1.20535, 42.6743, 0.823397
5, FAST, FREAK, MAT_BF, SEL_KNN, 1876, 11072, 99, 40.8313, 15.7465, 1.21755, 42.9225, 0.794851
6, FAST, FREAK, MAT_BF, SEL_KNN, 1843, 10688, 114, 13.5503, 12.7835, 1.29212, 42.4517, 0.826017
7, FAST, FREAK, MAT_BF, SEL_KNN, 1829, 10624, 108, 13.0844, 11.9844, 1.06452, 43.0953, 0.776383
8, FAST, FREAK, MAT_BF, SEL_KNN, 1843, 9792, 107, 11.4262, 13.1241, 1.0577, 42.8879, 0.759415
9, FAST, FREAK, MAT_BF, SEL_KNN, 1818, 10752, 108, 13.2738, 13.0241, 1.37394, 43.7114, 0.769492
10, FAST, FREAK, MAT_BF, SEL_KNN, 1879, 10432, 110, 13.6889, 11.1746, 1.22442, 43.7648, 0.808988
11, FAST, FREAK, MAT_BF, SEL_KNN, 1849, 11200, 101, 13.6974, 12.8086, 1.3167, 43.9433, 0.823008
12, FAST, FREAK, MAT_BF, SEL_KNN, 1826, 10880, 116, 11.8227, 8.95978, 1.13281, 43.537, 0.832936
13, FAST, FREAK, MAT_BF, SEL_KNN, 1842, 10496, 124, 12.2294, 9.96439, 1.10208, 42.5609, 0.836206
14, FAST, FREAK, MAT_BF, SEL_KNN, 1833, 11200, 118, 11.0205, 9.59863, 1.08226, 42.9232, 0.809096
15, FAST, FREAK, MAT_BF, SEL_KNN, 1921, 10240, 111, 14.7502, 8.52157, 1.10471, 42.7122, 0.783304
16, FAST, FREAK, MAT_BF, SEL_KNN, 1934, 11776, 112, 14.0038, 9.51552, 1.14992, 43.0453, 0.844818
17, FAST, FREAK, MAT_BF, SEL_KNN, 1946, 10880, 120, 9.20136, 9.61241, 1.19307, 43.045, 0.894319
1, FAST, SIFT, MAT_BF, SEL_KNN, 1898, 22272, 124, 12.3317, 12.5156, 1.27051, 33.8529, 1.37426
2, FAST, SIFT, MAT_BF, SEL_KNN, 1865, 21504, 149, 12.7122, 12.6142, 1.05988, 31.1654, 1.43951
3, FAST, SIFT, MAT_BF, SEL_KNN, 1840, 22912, 127, 24.2378, 14.091, 1.05933, 32.1456, 1.49862
4, FAST, SIFT, MAT_BF, SEL_KNN, 1867, 20608, 144, 33.1608, 16.6894, 1.07088, 34.1044, 1.41812
5, FAST, SIFT, MAT_BF, SEL_KNN, 1876, 22144, 122, 33.1608, 15.7465, 1.24286, 33.7555, 1.38715
6, FAST, SIFT, MAT_BF, SEL_KNN, 1843, 21376, 145, 33.0614, 12.7835, 1.04781, 30.9131, 1.41264
7, FAST, SIFT, MAT_BF, SEL_KNN, 1829, 21248, 131, 13.3234, 11.9844, 1.08295, 31.5809, 1.39763
8, FAST, SIFT, MAT_BF, SEL_KNN, 1843, 19584, 126, 12.4309, 13.1241, 1.06606, 32.9297, 1.26424
9, FAST, SIFT, MAT_BF, SEL_KNN, 1818, 21504, 123, 22.9995, 13.0241, 1.10914, 31.4234, 1.28074
10, FAST, SIFT, MAT_BF, SEL_KNN, 1879, 20864, 138, 18.4604, 11.1746, 1.10271, 31.1671, 1.34041
11, FAST, SIFT, MAT_BF, SEL_KNN, 1849, 22400, 112, 13.9549, 12.8086, 1.07802, 31.6207, 1.39872
12, FAST, SIFT, MAT_BF, SEL_KNN, 1826, 21760, 135, 13.5165, 8.95978, 1.05027, 31.0746, 1.55338
13, FAST, SIFT, MAT_BF, SEL_KNN, 1842, 20992, 140, 13.9608, 9.96439, 1.08097, 30.8853, 1.39395
14, FAST, SIFT, MAT_BF, SEL_KNN, 1833, 22400, 141, 13.0112, 9.59863, 1.1136, 32.0688, 1.39193
15, FAST, SIFT, MAT_BF, SEL_KNN, 1921, 20480, 144, 12.6506, 8.52157, 1.10134, 30.2827, 1.38833
16, FAST, SIFT, MAT_BF, SEL_KNN, 1934, 23552, 119, 13.3745, 9.51552, 1.10597, 32.4383, 1.44807
17, FAST, SIFT, MAT_BF, SEL_KNN, 1946, 21760, 131, 11.0941, 9.61241, 1.16763, 31.8814, 1.53399
1, BRISK, BRISK, MAT_BF, SEL_KNN, 3000, 20160, 181, 14.7453, 12.5156, 45.7016, 4.42529, 2.21775
2, BRISK, BRISK, MAT_BF, SEL_KNN, 2974, 20608, 215, 42.8914, 12.6142, 46.4222, 4.44649, 2.45236
3, BRISK, BRISK, MAT_BF, SEL_KNN, 2953, 20672, 212, 19.3159, 14.091, 46.1421, 4.76738, 2.49641
4, BRISK, BRISK, MAT_BF, SEL_KNN, 2855, 18176, 204, 27.6289, 16.6894, 45.6769, 4.57091, 2.22776
5, BRISK, BRISK, MAT_BF, SEL_KNN, 2906, 19776, 169, 48.8787, 15.7465, 44.8098, 4.27608, 2.10803
6, BRISK, BRISK, MAT_BF, SEL_KNN, 2886, 18688, 200, 27.6824, 12.7835, 45.5634, 4.38923, 2.17578
7, BRISK, BRISK, MAT_BF, SEL_KNN, 2886, 18368, 195, 24.393, 11.9844, 46.0328, 4.04226, 2.05681
8, BRISK, BRISK, MAT_BF, SEL_KNN, 2893, 18880, 184, 20.421, 13.1241, 45.9838, 4.30663, 2.1514
9, BRISK, BRISK, MAT_BF, SEL_KNN, 2930, 18944, 197, 17.6756, 13.0241, 46.5927, 4.21599, 2.1383
10, BRISK, BRISK, MAT_BF, SEL_KNN, 3022, 19456, 190, 19.6746, 11.1746, 48.1955, 4.30518, 2.3587
11, BRISK, BRISK, MAT_BF, SEL_KNN, 3013, 20736, 189, 15.7699, 12.8086, 47.1517, 4.50842, 2.39815
12, BRISK, BRISK, MAT_BF, SEL_KNN, 2949, 19136, 209, 13.4053, 8.95978, 46.0527, 4.21251, 2.35572
13, BRISK, BRISK, MAT_BF, SEL_KNN, 3012, 18944, 205, 15.4303, 9.96439, 48.256, 4.17353, 2.19137
14, BRISK, BRISK, MAT_BF, SEL_KNN, 3026, 19456, 202, 18.5121, 9.59863, 47.647, 4.28643, 2.19498
15, BRISK, BRISK, MAT_BF, SEL_KNN, 3074, 18432, 215, 15.4186, 8.52157, 48.6449, 4.1118, 2.13616
16, BRISK, BRISK, MAT_BF, SEL_KNN, 3131, 20864, 170, 16.4789, 9.51552, 50.0901, 4.45768, 2.2474
17, BRISK, BRISK, MAT_BF, SEL_KNN, 3135, 20992, 191, 11.316, 9.61241, 49.5857, 4.50211, 2.53182
1, BRISK, BRIEF, MAT_BF, SEL_KNN, 3000, 10080, 194, 15.5606, 12.5156, 47.6832, 1.89615, 2.15009
2, BRISK, BRIEF, MAT_BF, SEL_KNN, 2974, 10304, 216, 25.4088, 12.6142, 45.139, 1.89442, 2.26995
3, BRISK, BRIEF, MAT_BF, SEL_KNN, 2953, 10336, 228, 22.2217, 14.091, 45.2434, 1.90962, 2.3745
4, BRISK, BRIEF, MAT_BF, SEL_KNN, 2855, 9088, 207, 27.8255, 16.6894, 45.2201, 1.72364, 2.11946
5, BRISK, BRIEF, MAT_BF, SEL_KNN, 2906, 9888, 190, 26.559, 15.7465, 45.9926, 1.84766, 2.00075
6, BRISK, BRIEF, MAT_BF, SEL_KNN, 2886, 9344, 211, 28.4865, 12.7835, 51.1867, 2.248, 2.14849
7, BRISK, BRIEF, MAT_BF, SEL_KNN, 2886, 9184, 212, 24.1228, 11.9844, 50.1815, 2.15093, 2.03802
8, BRISK, BRIEF, MAT_BF, SEL_KNN, 2893, 9440, 194, 25.2404, 13.1241, 59.0214, 2.47068, 2.13409
9, BRISK, BRIEF, MAT_BF, SEL_KNN, 2930, 9472, 209, 17.6066, 13.0241, 59.6077, 2.50807, 2.34412
10, BRISK, BRIEF, MAT_BF, SEL_KNN, 3022, 9728, 204, 18.7577, 11.1746, 57.7953, 1.98559, 2.0848
11, BRISK, BRIEF, MAT_BF, SEL_KNN, 3013, 10368, 180, 21.6156, 12.8086, 54.0695, 2.21384, 2.44594
12, BRISK, BRIEF, MAT_BF, SEL_KNN, 2949, 9568, 214, 16.0057, 8.95978, 54.0313, 2.21033, 2.26425
13, BRISK, BRIEF, MAT_BF, SEL_KNN, 3012, 9472, 211, 15.5537, 9.96439, 50.8473, 1.97417, 2.13204
14, BRISK, BRIEF, MAT_BF, SEL_KNN, 3026, 9728, 213, 13.8492, 9.59863, 47.9335, 1.81953, 2.10871
15, BRISK, BRIEF, MAT_BF, SEL_KNN, 3074, 9216, 207, 17.0606, 8.52157, 50.0296, 3.04164, 2.12716
16, BRISK, BRIEF, MAT_BF, SEL_KNN, 3131, 10432, 182, 15.3986, 9.51552, 49.0795, 2.18475, 2.16037
17, BRISK, BRIEF, MAT_BF, SEL_KNN, 3135, 10496, 214, 14.4042, 9.61241, 50.2471, 1.93543, 2.45423
1, BRISK, ORB, MAT_BF, SEL_KNN, 3000, 10080, 188, 15.0234, 12.5156, 47.5551, 5.8957, 2.17034
2, BRISK, ORB, MAT_BF, SEL_KNN, 2974, 10304, 211, 21.1338, 12.6142, 46.3781, 5.91957, 2.37848
3, BRISK, ORB, MAT_BF, SEL_KNN, 2953, 10336, 205, 20.6838, 14.091, 45.1188, 5.76572, 2.41208
4, BRISK, ORB, MAT_BF, SEL_KNN, 2855, 9088, 198, 17.5363, 16.6894, 43.9042, 5.65281, 2.29566
5, BRISK, ORB, MAT_BF, SEL_KNN, 2906, 9888, 172, 42.8805, 15.7465, 45.2637, 5.84642, 2.09397
6, BRISK, ORB, MAT_BF, SEL_KNN, 2886, 9344, 181, 25.3846, 12.7835, 46.1822, 5.88872, 2.12702
7, BRISK, ORB, MAT_BF, SEL_KNN, 2886, 9184, 184, 23.7971, 11.9844, 45.5274, 5.71408, 1.99835
8, BRISK, ORB, MAT_BF, SEL_KNN, 2893, 9440, 178, 20.6646, 13.1241, 46.2564, 5.77928, 2.02036
9, BRISK, ORB, MAT_BF, SEL_KNN, 2930, 9472, 185, 17.6724, 13.0241, 47.3233, 5.71713, 2.0778
10, BRISK, ORB, MAT_BF, SEL_KNN, 3022, 9728, 192, 17.9866, 11.1746, 48.7224, 5.79629, 2.16563
11, BRISK, ORB, MAT_BF, SEL_KNN, 3013, 10368, 186, 15.845, 12.8086, 47.2426, 5.83329, 4.0828
12, BRISK, ORB, MAT_BF, SEL_KNN, 2949, 9568, 193, 14.5473, 8.95978, 46.834, 5.75711, 2.23345
13, BRISK, ORB, MAT_BF, SEL_KNN, 3012, 9472, 187, 12.7446, 9.96439, 47.5136, 5.71513, 2.12237
14, BRISK, ORB, MAT_BF, SEL_KNN, 3026, 9728, 198, 14.2961, 9.59863, 47.0081, 5.86543, 2.0681
15, BRISK, ORB, MAT_BF, SEL_KNN, 3074, 9216, 200, 18.6267, 8.52157, 49.536, 5.75606, 2.15951
16, BRISK, ORB, MAT_BF, SEL_KNN, 3131, 10432, 160, 15.8785, 9.51552, 50.4356, 5.8364, 2.15251
17, BRISK, ORB, MAT_BF, SEL_KNN, 3135, 10496, 196, 13.145, 9.61241, 50.3979, 5.81478, 4.33414
1, BRISK, FREAK, MAT_BF, SEL_KNN, 3000, 18752, 166, 14.5154, 12.5156, 46.7141, 47.163, 1.92918
2, BRISK, FREAK, MAT_BF, SEL_KNN, 2974, 18816, 206, 28.7684, 12.6142, 45.6309, 46.4923, 2.09321
3, BRISK, FREAK, MAT_BF, SEL_KNN, 2953, 18752, 196, 20.6838, 14.091, 45.757, 46.3703, 2.10719
4, BRISK, FREAK, MAT_BF, SEL_KNN, 2855, 16896, 190, 20.0207, 16.6894, 45.5946, 47.5477, 1.93099
5, BRISK, FREAK, MAT_BF, SEL_KNN, 2906, 18176, 158, 36.8012, 15.7465, 45.1091, 46.8191, 1.82075
6, BRISK, FREAK, MAT_BF, SEL_KNN, 2886, 17344, 193, 17.7318, 12.7835, 47.718, 46.7413, 1.9607
7, BRISK, FREAK, MAT_BF, SEL_KNN, 2886, 17088, 190, 17.7722, 11.9844, 46.7173, 46.2402, 1.79672
8, BRISK, FREAK, MAT_BF, SEL_KNN, 2893, 17536, 180, 21.2604, 13.1241, 46.2137, 47.041, 1.82132
9, BRISK, FREAK, MAT_BF, SEL_KNN, 2930, 17216, 187, 17.0997, 13.0241, 47.7673, 46.3955, 1.86111
10, BRISK, FREAK, MAT_BF, SEL_KNN, 3022, 17600, 201, 14.1613, 11.1746, 47.6164, 45.8386, 1.83349
11, BRISK, FREAK, MAT_BF, SEL_KNN, 3013, 18944, 179, 15.7321, 12.8086, 47.8682, 47.409, 1.9769
12, BRISK, FREAK, MAT_BF, SEL_KNN, 2949, 17536, 197, 12.3942, 8.95978, 48.6101, 46.7288, 2.00116
13, BRISK, FREAK, MAT_BF, SEL_KNN, 3012, 17536, 183, 15.6259, 9.96439, 47.8408, 46.8621, 1.86548
14, BRISK, FREAK, MAT_BF, SEL_KNN, 3026, 18240, 184, 16.7637, 9.59863, 48.6245, 47.4969, 1.92931
15, BRISK, FREAK, MAT_BF, SEL_KNN, 3074, 16576, 205, 14.3926, 8.52157, 48.1463, 47.0922, 1.82238
16, BRISK, FREAK, MAT_BF, SEL_KNN, 3131, 19520, 172, 13.8454, 9.51552, 49.0016, 46.943, 1.95356
17, BRISK, FREAK, MAT_BF, SEL_KNN, 3135, 19328, 188, 9.90115, 9.61241, 50.408, 47.3835, 2.23642
1, BRISK, SIFT, MAT_BF, SEL_KNN, 3000, 40320, 182, 14.1922, 12.5156, 47.6412, 76.7505, 3.93333
2, BRISK, SIFT, MAT_BF, SEL_KNN, 2974, 41216, 204, 18.0365, 12.6142, 46.7063, 75.0947, 4.31972
3, BRISK, SIFT, MAT_BF, SEL_KNN, 2953, 41344, 206, 19.5947, 14.091, 44.9573, 74.8032, 4.49263
4, BRISK, SIFT, MAT_BF, SEL_KNN, 2855, 36352, 197, 14.3684, 16.6894, 44.2933, 70.1378, 3.95085
5, BRISK, SIFT, MAT_BF, SEL_KNN, 2906, 39552, 172, 37.6356, 15.7465, 45.6178, 76.1225, 3.82947
6, BRISK, SIFT, MAT_BF, SEL_KNN, 2886, 37376, 204, 16.6703, 12.7835, 46.2966, 73.4123, 3.93197
7, BRISK, SIFT, MAT_BF, SEL_KNN, 2886, 36736, 197, 17.397, 11.9844, 45.4652, 69.8421, 3.64797
8, BRISK, SIFT, MAT_BF, SEL_KNN, 2893, 37760, 192, 19.5912, 13.1241, 47.972, 71.5755, 4.12793
9, BRISK, SIFT, MAT_BF, SEL_KNN, 2930, 37888, 209, 17.9662, 13.0241, 46.4633, 71.302, 3.73551
10, BRISK, SIFT, MAT_BF, SEL_KNN, 3022, 38912, 212, 17.8957, 11.1746, 48.1017, 69.8085, 3.86477
11, BRISK, SIFT, MAT_BF, SEL_KNN, 3013, 41472, 187, 14.7066, 12.8086, 48.3073, 73.823, 4.25197
12, BRISK, SIFT, MAT_BF, SEL_KNN, 2949, 38272, 224, 13.5426, 8.95978, 46.8262, 72.0256, 4.18868
13, BRISK, SIFT, MAT_BF, SEL_KNN, 3012, 37888, 214, 12.9704, 9.96439, 50.043, 71.8687, 3.83917
14, BRISK, SIFT, MAT_BF, SEL_KNN, 3026, 38912, 205, 13.4022, 9.59863, 47.2156, 71.3918, 3.96603
15, BRISK, SIFT, MAT_BF, SEL_KNN, 3074, 36864, 212, 13.1038, 8.52157, 48.0944, 67.5659, 3.77856
16, BRISK, SIFT, MAT_BF, SEL_KNN, 3131, 41728, 169, 11.3491, 9.51552, 50.2572, 79.0368, 4.08328
17, BRISK, SIFT, MAT_BF, SEL_KNN, 3135, 41984, 190, 10.6399, 9.61241, 51.0436, 74.0735, 4.57584
1, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5888, 71, 13.4953, 12.5156, 8.84874, 2.12259, 0.303566
2, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6848, 72, 235.386, 12.6142, 8.92412, 2.29667, 0.364136
3, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6912, 80, 34.1457, 14.091, 10.5889, 2.66246, 0.407198
4, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6016, 81, 53.5842, 16.6894, 11.1061, 2.18341, 0.379845
5, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6784, 81, 53.5842, 15.7465, 9.14773, 2.29173, 0.411013
6, ORB, BRISK, MAT_BF, SEL_KNN, 500, 7040, 81, 53.5842, 12.7835, 9.05362, 2.40811, 0.41508
7, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6848, 81, 53.5842, 11.9844, 9.20505, 2.27986, 0.408738
8, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6784, 74, 91.4191, 13.1241, 9.05247, 2.35111, 0.40754
9, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6528, 75, 91.4191, 13.0241, 9.32156, 2.35281, 0.457468
10, ORB, BRISK, MAT_BF, SEL_KNN, 500, 6016, 72, 91.4191, 11.1746, 9.66834, 2.2817, 0.400693
11, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5568, 65, 9.14123, 12.8086, 9.16935, 2.12289, 0.354247
12, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5376, 72, 9.14123, 8.95978, 9.56404, 2.23724, 0.320963
13, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5696, 69, 13.037, 9.96439, 9.32043, 2.10753, 0.330348
14, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5760, 76, 18.5566, 9.59863, 9.80397, 2.19386, 0.38954
15, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5312, 76, 18.5566, 8.52157, 9.31482, 2.06316, 0.349317
16, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5760, 64, 18.5566, 9.51552, 12.1166, 2.14598, 0.324155
17, ORB, BRISK, MAT_BF, SEL_KNN, 500, 5824, 70, 32.8393, 9.61241, 9.30763, 2.12797, 0.383871
1, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3104, 46, 37.7417, 12.5156, 8.63396, 1.28143, 0.322218
2, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3584, 52, 37.7417, 12.6142, 9.08158, 1.24408, 0.36334
3, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3616, 59, 37.7417, 14.091, 9.31899, 1.1851, 0.413404
4, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3200, 63, 13.7319, 16.6894, 8.92912, 1.16634, 0.397969
5, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3616, 52, 857.975, 15.7465, 10.5133, 1.17425, 0.389863
6, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3744, 53, 13.4145, 12.7835, 9.10018, 1.21092, 0.42087
7, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3648, 59, 13.4145, 11.9844, 9.03107, 1.19947, 0.4255
8, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3648, 59, 13.4145, 13.1241, 9.1655, 1.18828, 0.42145
9, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3520, 55, 13.4145, 13.0241, 10.4449, 1.1489, 0.422565
10, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3168, 51, 103.222, 11.1746, 9.32714, 1.15083, 0.370355
11, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3104, 43, 17.0883, 12.8086, 9.14897, 1.09587, 0.373414
12, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 2880, 50, 24.4668, 8.95978, 9.31584, 1.08835, 0.323527
13, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3040, 48, 22.3145, 9.96439, 9.20336, 1.13923, 0.313506
14, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3072, 51, 18.7905, 9.59863, 9.33232, 1.11901, 0.342242
15, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 2784, 66, 18.7905, 8.52157, 9.20899, 1.10422, 0.315759
16, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 3040, 37, 13.9345, 9.51552, 9.32436, 1.13159, 0.31412
17, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 2976, 40, 14.3683, 9.61241, 9.36595, 1.10841, 0.330489
1, ORB, ORB, MAT_BF, SEL_KNN, 500, 3104, 67, 38.6619, 12.5156, 8.5519, 5.98521, 0.471588
2, ORB, ORB, MAT_BF, SEL_KNN, 500, 3584, 64, 38.6619, 12.6142, 8.62122, 6.15151, 0.562108
3, ORB, ORB, MAT_BF, SEL_KNN, 500, 3616, 81, 66.759, 14.091, 8.84723, 6.22805, 0.635066
4, ORB, ORB, MAT_BF, SEL_KNN, 500, 3200, 81, 35.326, 16.6894, 8.48445, 6.4771, 0.59856
5, ORB, ORB, MAT_BF, SEL_KNN, 500, 3616, 71, 35.326, 15.7465, 8.95467, 5.76627, 0.403451
6, ORB, ORB, MAT_BF, SEL_KNN, 500, 3744, 80, 35.326, 12.7835, 9.35887, 5.77578, 0.439557
7, ORB, ORB, MAT_BF, SEL_KNN, 500, 3648, 80, 35.326, 11.9844, 9.40406, 5.84248, 0.439018
8, ORB, ORB, MAT_BF, SEL_KNN, 500, 3648, 82, 35.326, 13.1241, 9.08391, 5.82164, 0.441746
9, ORB, ORB, MAT_BF, SEL_KNN, 500, 3520, 81, 35.326, 13.0241, 9.19066, 5.79907, 0.471553
10, ORB, ORB, MAT_BF, SEL_KNN, 500, 3168, 67, 35.326, 11.1746, 9.42786, 6.11911, 0.564616
11, ORB, ORB, MAT_BF, SEL_KNN, 500, 3104, 70, 11.5507, 12.8086, 9.89613, 5.68166, 0.356785
12, ORB, ORB, MAT_BF, SEL_KNN, 500, 2880, 71, 11.5507, 8.95978, 9.31119, 5.78917, 0.321073
13, ORB, ORB, MAT_BF, SEL_KNN, 500, 3040, 72, 11.5507, 9.96439, 10.7918, 7.31623, 0.338532
14, ORB, ORB, MAT_BF, SEL_KNN, 500, 3072, 77, 11.5507, 9.59863, 9.4856, 6.22632, 0.499488
15, ORB, ORB, MAT_BF, SEL_KNN, 500, 2784, 76, 11.5507, 8.52157, 9.33542, 5.78017, 0.342979
16, ORB, ORB, MAT_BF, SEL_KNN, 500, 3040, 56, 11.5507, 9.51552, 9.22079, 5.73783, 0.32198
17, ORB, ORB, MAT_BF, SEL_KNN, 500, 2976, 67, 31.1961, 9.61241, 9.27367, 5.62019, 0.325098
1, ORB, FREAK, MAT_BF, SEL_KNN, 500, 3584, 33, 31.1961, 12.5156, 9.55319, 45.6132, 0.180063
2, ORB, FREAK, MAT_BF, SEL_KNN, 500, 4160, 47, 103.248, 12.6142, 9.02556, 40.9986, 0.213608
3, ORB, FREAK, MAT_BF, SEL_KNN, 500, 4160, 49, 10.5161, 14.091, 8.96071, 41.0288, 0.245917
4, ORB, FREAK, MAT_BF, SEL_KNN, 500, 3328, 51, 21.7788, 16.6894, 9.04909, 40.4354, 0.211319
5, ORB, FREAK, MAT_BF, SEL_KNN, 500, 4160, 37, -22.2631, 15.7465, 10.4634, 41.8546, 0.210676
6, ORB, FREAK, MAT_BF, SEL_KNN, 500, 4032, 51, 67.4939, 12.7835, 9.13894, 40.9347, 0.232028
7, ORB, FREAK, MAT_BF, SEL_KNN, 500, 4032, 48, 67.4939, 11.9844, 9.13142, 40.5055, 0.219867
