IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, TTC CAMERA, TTC LIDAR, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
4, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1828, 5024, 134, 12.1132, 16.6894, 13.2672, 1.52915, 0.714874
5, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1806, 4672, 125, 13.4423, 15.7465, 13.0595, 1.54281, 0.660889
6, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1877, 4608, 128, 15.901, 12.7835, 13.1649, 1.5673, 0.620311
7, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1894, 4576, 121, 13.3699, 11.9844, 13.3192, 1.54481, 0.600041
8, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1889, 4704, 125, 14.4581, 13.1241, 13.0601, 1.52409, 0.60553
9, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1917, 4416, 115, 11.8118, 13.0241, 13.1388, 1.4986, 0.62599
10, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1874, 4192, 107, 15.1525, 11.1746, 13.6492, 2.06455, 0.847546
11, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1912, 4416, 108, 11.5174, 12.8086, 13.225, 1.52399, 0.583722
12, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1930, 4480, 111, 12.4803, 8.95978, 13.0892, 1.51917, 0.581989
13, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1881, 4416, 121, 13.0755, 9.96439, 13.0608, 1.50873, 0.570783
14, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1886, 4064, 107, 13.5788, 9.59863, 13.1543, 1.50359, 0.524945
15, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1957, 4704, 108, 12.5287, 8.52157, 13.1738, 1.50342, 0.569126
16, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1888, 4288, 114, 12.6733, 9.51552, 13.1133, 1.49038, 0.603707
17, SHITOMASI, ORB, MAT_BF, SEL_KNN, 1919, 4480, 120, 12.5741, 9.61241, 13.1487, 1.49819, 0.563821
1, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1759, 9792, 109, 13.3518, 12.5156, 13.0999, 43.33, 0.652472
2, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1820, 10048, 105, 14.5897, 12.6142, 12.9208, 42.7895, 0.702196
3, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1850, 9728, 105, 11.4761, 14.091, 13.06, 42.8624, 0.705291
4, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1828, 10048, 107, 12.807, 16.6894, 12.9501, 42.6981, 0.693196
5, SHITOMASI, FREAK, MAT_BF, SEL_KNN, 1806, 9344, 107, 13.312, 15.7465, 13.2118, 43.0881, 0.655703
